2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:10 - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@62380a0
2024-07-09 10:51:10 - Adding type registration object -> org.hibernate.type.JavaObjectType@1e3b7bd8
2024-07-09 10:51:10 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@1e3b7bd8
2024-07-09 10:51:10 - Adding type registration null -> org.hibernate.type.NullType@20b4dcaf
2024-07-09 10:51:10 - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@767d6e91
2024-07-09 10:51:10 - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@76068a0b
2024-07-09 10:51:10 - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@1bc75eb3
2024-07-09 10:51:10 - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@1d90a8c0
2024-07-09 10:51:10 - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@44405
2024-07-09 10:51:10 - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@4210d0dc
2024-07-09 10:51:10 - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@63033ceb
2024-07-09 10:51:10 - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@7b4d5ee3
2024-07-09 10:51:11 - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-07-09 10:51:11 - HikariPool-1 - Starting...
2024-07-09 10:51:11 - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2888e968
2024-07-09 10:51:11 - HikariPool-1 - Start completed.
2024-07-09 10:51:11 - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-07-09 10:51:11 - addDescriptor(6, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@4cecd10) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@5cb861b)
2024-07-09 10:51:11 - addDescriptor(2004, BlobTypeDescriptor(BLOB_BINDING)) replaced previous registration(BlobTypeDescriptor(DEFAULT))
2024-07-09 10:51:11 - addDescriptor(2005, ClobTypeDescriptor(CLOB_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2024-07-09 10:51:11 - Adding type registration JAVA_OBJECT -> org.hibernate.type.JavaObjectType@4bb01c76
2024-07-09 10:51:11 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@4bb01c76
2024-07-09 10:51:11 - Type registration key [java.lang.Object] overrode previous entry : `org.hibernate.type.JavaObjectType@1e3b7bd8`
2024-07-09 10:51:11 - Adding type registration Duration -> basicType@1(java.time.Duration,2)
2024-07-09 10:51:11 - Adding type registration java.time.Duration -> basicType@1(java.time.Duration,2)
